,Location_name,Location_id,Latitude,Longitude
151,BELFAST_2,219,54.6,-5.92
152,WELLINGTON_HARBOUR,221,-41.28,174.78
153,QUEQUEN,223,-38.58,-58.7
154,LEWES,224,38.78,-75.12
155,KETCHIKAN,225,55.33,-131.62
156,SAPPI,226,61.48,21.33
157,SUR_SARI,227,60.08,26.98
158,KEMI,229,65.67,24.52
159,PORT_LINCOLN,230,-34.72,135.87
160,HELIGMAN,231,60.2,19.3
161,CHARLESTON_I,234,32.78,-79.92
162,BOSTON,235,42.35,-71.05
163,WEST-TERSCHELLING,236,53.36,5.22
164,PRIMORSK,237,60.35,28.62
165,TVARMINNE,238,59.85,23.25
166,TURKU,239,60.43,22.1
167,RAAHE,240,64.67,24.41
168,LOS_ANGELES,245,33.72,-118.27
169,PENSACOLA,246,30.4,-87.21
170,PORT_LYTTELTON,247,-43.61,172.72
171,JOHOR_BAHRU,248,1.46,103.79
172,FOGLO,249,60.03,20.38
173,PORT_SAID,253,31.25,32.3
174,DOVER,255,51.11,1.32
175,LA_JOLLA,256,32.87,-117.26
176,PONTA_DELGADA,258,37.74,-25.67
177,LYTTELTON_II,259,-43.61,172.72
178,JOLO,260,6.07,121.0
179,ASTORIA,265,46.21,-123.77
180,SEWARD,266,60.12,-149.43
181,NEWCASTLE_III,267,-32.92,151.8
182,MACAU,269,22.2,113.55
183,DAYTONA_BEACH,270,29.23,-81.0
184,MOMMARK,271,54.93,10.07
185,DURBAN,284,-29.87,31.05
186,KASKINEN,285,62.34,21.21
187,IMMINGHAM,286,53.63,-0.19
188,SEAVEY_ISLAND,288,43.08,-70.74
189,PIONERSKY,289,54.95,20.22
190,SEWELLS_POINT,299,36.95,-76.33
191,HILO,300,19.73,-155.06
192,TREGDE,302,58.01,7.55
193,SANTA_CRUZ_DE_TENERIFE_I,303,28.48,-16.24
194,YAMBA,310,-29.43,153.36
195,ANNAPOLIS,311,38.98,-76.48
196,NARVIK,312,68.43,17.43
197,HEIMSJO,313,63.43,9.1
198,STORNOWAY,314,58.21,-6.39
199,HAMINA,315,60.56,27.18
200,MAYPORT,316,30.39,-81.43
201,BOURGAS,317,42.48,27.48
202,VARNA,318,43.18,27.92
203,NEWCASTLE_I,320,-32.92,151.8
204,KLAGSHAMN,330,55.52,12.89
205,TAKORADI,331,4.88,-1.75
206,EASTPORT,332,44.9,-66.98
207,NORTH_POINT,333,22.3,114.2
208,SOUTHEND,334,51.51,0.72
209,TILBURY,335,51.47,0.37
210,TOWER_PIER,336,51.5,0.08
211,PORTSMOUTH,350,50.8,-1.11
212,NEWPORT,351,41.51,-71.33
213,SPLIT - GRADSKA_LUKA,352,43.51,16.44
214,BAKAR,353,45.3,14.53
215,MERA,359,34.92,139.82
216,WASHINGTON_DC,360,38.87,-77.02
217,ABERDEEN_I,361,57.14,-2.08
218,WILLETS_POINT,362,40.79,-73.78
219,MIAMI_BEACH,363,25.77,-80.13
220,SANDY_HOOK,366,40.47,-74.01
221,WOODS_HOLE,367,41.52,-70.67
222,ST. GEORGES,368,32.37,-64.7
223,GARDEN_REACH,369,22.55,88.3
224,THESSALONIKI,373,40.63,22.93
225,PIRAIEVS,374,37.94,23.63
226,KAVALLA,375,40.93,24.41
227,RAUMA,376,61.13,21.43
228,SANTA_MONICA,377,34.01,-118.5
229,CRESCENT_CITY,378,41.74,-124.18
230,CONSTANTZA,379,44.17,28.67
231,FRIDAY_HARBOR,384,48.55,-123.01
232,NEAH_BAY,385,48.37,-124.61
233,THEVENARD,386,-32.15,133.64
234,GRONDINES,387,46.58,-72.03
235,PORT_AUX_BASQUES,392,47.57,-59.13
236,ST. JOHN'S,393,47.57,-52.72
237,CEBU,394,10.3,123.92
238,FORT_PULASKI,395,32.03,-80.9
239,WILMINGTON,396,34.23,-77.95
240,SASSNITZ,397,54.51,13.64
241,KJOLSDAL,398,61.92,5.63
242,PORTSMOUTH,399,36.82,-76.29
243,NEVLUNGHAVN,401,58.97,9.88
244,JUNEAU,405,58.3,-134.41
245,UCHIURA,407,35.02,138.89
246,KHIOS,408,38.37,26.14
247,POSIDHONIA,409,37.95,22.96
248,PREVEZA,410,38.96,20.76
249,KALAMAI,411,37.02,22.12
250,SOLOMON'S_ISLAND,412,38.32,-76.45
251,OOSTENDE,413,51.23,2.92
252,VISAKHAPATNAM,414,17.68,83.28
253,SAUGOR/SAGAR,417,21.65,88.05
254,GUANTANAMO_BAY,418,19.91,-75.15
255,BHAUNAGAR_I,420,21.8,72.3
256,ANDENES,425,69.33,16.13
257,SITKA,426,57.05,-135.34
258,CHARLOTTETOWN,427,46.23,-63.12
259,CEDAR_KEY_II,428,29.14,-83.03
260,NEW_LONDON,429,41.36,-72.09
261,PROVIDENCE,430,41.81,-71.4
262,MONTEVIDEO,431,-34.9,-56.25
263,DUBLIN,432,53.35,-6.22
264,COLONIA,433,-34.48,-57.85
265,PUNTA_DEL_ESTE,434,-34.97,-54.95
266,DOUGLAS,435,54.15,-4.47
267,ALAMEDA,437,37.77,-122.3
268,COCHIN,438,9.97,76.27
269,EUGENE_ISLAND,440,29.37,-91.39
270,FORT_PHRACHULA_CHOMKLAO,444,13.55,100.58
271,YAKUTAT,445,59.55,-139.73
272,KO_TAPHAO_NOI,446,7.83,98.43
273,CHURCHILL,447,58.77,-94.18
274,PORT_ADELAIDE,448,-34.78,138.48
275,KO_SICHANG,449,13.15,100.82
276,LE_HAVRE,453,49.48,0.11
277,ST. MALO,454,48.64,-2.03
278,CALAIS,455,50.97,1.87
279,BUENAVENTURA,456,3.9,-77.1
280,ST. NAZAIRE,457,47.27,-2.2
281,MATARANI,458,-17.0,-72.12
282,HACHINOHE_I,460,40.53,141.53
283,RICHMOND,462,37.57,-77.45
284,MIYAKO_I,463,39.63,141.97
285,PUNTARENAS,464,9.97,-84.83
286,LA_ROCHELLE-LA_PALLICE,466,46.16,-1.22
287,CHERBOURG,467,49.65,-1.64
288,DUNKERQUE,468,51.05,2.37
289,ST_JEAN_DE_LUZ,469,43.4,-1.68
290,ZEEBRUGGE,470,51.35,3.2
291,BOULOGNE,471,50.73,1.58
292,DIEPPE,474,49.93,1.08
293,TALARA,475,-4.62,-81.28
294,PORT_LOUIS,477,-20.15,57.5
295,VIGO,483,42.24,-8.73
296,LA_CORUNA_I,484,43.37,-8.4
297,SANTANDER_I,485,43.46,-3.79
298,MALOY,486,61.93,5.11
299,ADAK  SWEEPER_COVE,487,51.86,-176.63
300,TARIFA,488,36.01,-5.6
301,NIEUWPOORT,489,51.15,2.73
302,ALGECIRAS,490,36.12,-5.43
303,MASSACRE_BAY,491,52.83,173.2
304,SKAGWAY,495,59.45,-135.33
305,MALAGA,496,36.71,-4.42
306,PORT_ISABEL,497,26.06,-97.22
307,CEUTA,498,35.89,-5.32
308,VALPARAISO,499,-33.03,-71.63
309,WELLINGTON_II,500,-41.28,174.78
310,PUERTO_MADRYN,501,-42.77,-65.03
311,ALEXANDRIA,503,31.22,29.92
312,PORT_SAN_LUIS,508,35.18,-120.76
313,ALESUND,509,62.47,6.15
314,ANTOFAGASTA_2,510,-23.65,-70.4
315,ANTOFAGASTA,511,-23.65,-70.42
316,KWAJALEIN,513,8.73,167.74
317,KUSHIRO,518,42.98,144.37
318,MONTAUK,519,41.05,-71.96
319,ST. PETERSBURG,520,27.76,-82.63
320,KAHULUI_HARBOR,521,20.89,-156.48
321,LEGASPI,522,13.15,123.75
322,MIDWAY_ISLAND,523,28.21,-177.36
323,VARDO,524,70.37,31.1
324,BAR_HARBOR,525,44.39,-68.2
325,GRAND_ISLE,526,29.26,-89.96
326,PORT_ALBERNI,527,49.23,-124.82
327,CHUUK,528,7.45,151.85
328,EVENSKJAER,531,68.58,16.55
329,DAVAO,537,7.08,125.63
330,ROCKPORT,538,28.02,-97.05
331,PAGO_PAGO,539,-14.28,-170.69
332,APRA_HARBOR,540,13.44,144.65
333,BARENTSBURG,541,78.07,14.25
334,IMBITUBA,542,-28.23,-48.65
335,DIAMOND_HARBOUR,543,22.2,88.17
336,LA_LIBERTAD_II,544,-2.2,-80.92
337,KEELUNG_II,545,25.13,121.73
338,YUZHNO_KURILSK,546,44.02,145.87
339,BARENTSBURG_II,547,78.07,14.25
340,CAMP_COVE,549,-33.83,151.28
341,PUERTO_LIMON,552,10.0,-83.03
342,ALERT_BAY,554,50.58,-126.95
343,LA_LIBERTAD,555,-2.2,-80.92
344,RECIFE,556,-8.05,-34.87
345,PUERTO_CORTES,557,15.83,-87.95
346,LA_UNION,558,13.33,-87.82
347,BODO,562,67.29,14.39
348,GIBARA,563,21.11,-76.12
349,MACKAY,564,-21.1,149.23
350,LAS_PALMAS_C,565,28.15,-15.41
351,CORDOVA,566,60.56,-145.75
352,KODIAK_ISLAND,567,57.73,-152.51
353,SANTA_CRUZ_DE_LA_PALMA_B,568,28.67,-17.77
354,TIKSI,569,71.58,128.92
355,TALCAHUANO,571,-36.68,-73.1
356,CARTAGENA,572,10.4,-75.55
357,KANTON_ISLAND,575,-2.8,-171.72
358,SALVADOR,578,-12.97,-38.52
359,BELEM,580,-1.45,-48.5
360,NAOS_ISLAND,581,8.92,-79.55
361,ARRECIFE,593,28.97,-13.53
362,WAKE_ISLAND,595,19.29,166.62
363,KANDLA,596,23.02,70.22
364,GLOUCESTER_POINT,597,37.25,-76.5
365,JOHNSTON_ISLAND,598,16.74,-169.53
366,AMDERMA,599,69.75,61.7
367,UST_KARA,600,69.25,64.52
368,FEDOROVA,601,77.72,104.3
369,SANNIKOVA,602,74.67,138.9
370,SHALAUROVA,603,73.18,143.23
371,AMBARCHIK,604,69.62,162.3
372,RAU-CHUA,605,69.5,166.58
373,PEVEK,606,69.7,170.25
374,VANKAREM,607,67.83,-175.83
375,VRANGELIA,608,70.98,-178.48
376,MALYE_KARMAKULY,609,72.37,52.7
377,UST_OLENEK,610,73.0,119.87
378,DIKSON,611,73.5,80.4
379,STERLEGOVA,612,75.42,88.9
380,NETTEN,613,66.97,-171.93
381,QINHUANGDAO,614,39.9,119.6
382,PRAVDY,615,76.27,94.77
383,MYS_SHMIDTA,616,68.9,-179.37
384,RATMANOVA,617,65.85,-169.13
385,ARICA,618,-18.47,-70.33
386,CALDERA,619,-27.07,-70.83
387,MALYI_TAIMYR,620,78.08,106.82
388,KOLUCHIN,621,67.48,-174.65
389,UGORSKII_SHAR,622,69.82,60.75
390,TOBA,627,34.47,136.85
391,IRAKLION,634,35.35,25.15
392,ONAHAMA,635,36.94,140.89
