model,quantile,region,scenario,unit,variable,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE,0.025,World,ssp370-lowNTCF-gidden,W / m^2,Effective Radiative Forcing|Aerosols|Direct Effect|SOx,-0.10392218,-0.10896396,-0.11032734,-0.11261998,-0.1133092,-0.12433652,-0.13359789,-0.13997832,-0.14191666,-0.14903562,-0.15495849,-0.17547439,-0.1794119,-0.18473089,-0.19218438,-0.19681018,-0.2012187,-0.19899181,-0.2068451,-0.21277177,-0.22382017,-0.22426121,-0.2301534,-0.24130404,-0.23716153,-0.2329374,-0.24280293,-0.24498825,-0.2454491,-0.24956118,-0.24835732,-0.240608,-0.23497034,-0.23201145,-0.23452842,-0.23484621,-0.2346059,-0.23869463,-0.24032017,-0.24019911,-0.23976384,-0.2359434,-0.2280628,-0.22314528,-0.21621441,-0.21177918,-0.20784398,-0.20677399,-0.20173733,-0.19207646,-0.19287025,-0.1940657,-0.19162159,-0.19858193,-0.20843147,-0.21630647,-0.21774058,-0.21603296,-0.21088563,-0.20146525,-0.19866768,-0.201025,-0.19693652,-0.19520414,-0.19328016,-0.19011482,-0.18696578,-0.18381673,-0.1806719,-0.17752706,-0.17451555,-0.17164118,-0.16877064,-0.1659001,-0.16302573,-0.16015137,-0.15728083,-0.15441028,-0.15153592,-0.14866156,-0.14596197,-0.14343334,-0.14090127,-0.13836901,-0.13584019,-0.13331156,-0.13077949,-0.12824742,-0.12571879,-0.12319016,-0.12017789,-0.11668674,-0.11320037,-0.109714,-0.10622286,-0.10273172,-0.099245346,-0.095758977,-0.092267832,-0.088776688,-0.086772388,-0.086250159,-0.085727165,-0.085204172,-0.084681942,-0.084159522,-0.083636337,-0.083113343,-0.082591114,-0.082068884,-0.081549329,-0.081033403,-0.080518241,-0.080003079,-0.079487152,-0.078971035,-0.078455873,-0.077940711,-0.077424785,-0.076908859,-0.076368674,-0.075803467,-0.075237495,-0.074671524,-0.074106316,-0.073541109,-0.072975137,-0.072409357,-0.071844149,-0.071278942,-0.070741622,-0.070232573,-0.069724287,-0.069216192,-0.068707334,-0.068198284,-0.067689998,-0.067181713,-0.066672663,-0.066163805,-0.065639092,-0.06509757,-0.064555284,-0.064013189,-0.063471667,-0.062930145,-0.06238786,-0.061845574,-0.061304243,-0.060762721,-0.060762721
GCAM4,0.025,World,ssp434,W / m^2,Effective Radiative Forcing|Aerosols|Direct Effect|SOx,-0.10801553,-0.11325591,-0.11467299,-0.11705592,-0.1177723,-0.12923396,-0.13886013,-0.14549187,-0.14750657,-0.15490593,-0.16106209,-0.18238609,-0.1864787,-0.19200718,-0.19975426,-0.20456226,-0.20914443,-0.20682982,-0.21499245,-0.22115257,-0.23263615,-0.23309455,-0.23921883,-0.25080868,-0.246503,-0.24211249,-0.25236661,-0.254638,-0.25511701,-0.25939106,-0.25813978,-0.25008522,-0.2442255,-0.24115006,-0.24376617,-0.24409648,-0.24384671,-0.24809649,-0.24978605,-0.24966023,-0.24920781,-0.24523689,-0.23704589,-0.23193467,-0.2247308,-0.22012088,-0.21603068,-0.21491853,-0.20968349,-0.19964209,-0.20046715,-0.20170969,-0.1991693,-0.2064038,-0.2166413,-0.22482649,-0.22631708,-0.22454221,-0.21919213,-0.20940069,-0.20649293,-0.20894311,-0.20469359,-0.20289297,-0.20089321,-0.19760318,-0.19258191,-0.18756064,-0.18254635,-0.17753206,-0.17336346,-0.17004513,-0.16673138,-0.16341763,-0.1600993,-0.15678077,-0.15346682,-0.15015308,-0.14683475,-0.14351641,-0.14025352,-0.13704127,-0.13382443,-0.1306078,-0.12739555,-0.1241831,-0.12096647,-0.11774983,-0.11453758,-0.11132534,-0.10811588,-0.1049138,-0.10171611,-0.098518419,-0.095316341,-0.092114063,-0.088916172,-0.085718481,-0.082516403,-0.079314325,-0.076878966,-0.075205742,-0.073530125,-0.071854707,-0.070181482,-0.068508258,-0.06683284,-0.065157222,-0.063483998,-0.061810773,-0.06046318,-0.059443014,-0.058424243,-0.057405274,-0.056384908,-0.055364542,-0.054345572,-0.053326602,-0.052306236,-0.05128587,-0.050383354,-0.049597092,-0.048809634,-0.048022175,-0.047235714,-0.046449252,-0.045661794,-0.044874336,-0.044088074,-0.043301812,-0.04265992,-0.042163596,-0.04166807,-0.041172344,-0.04067602,-0.040179696,-0.03968397,-0.039188264,-0.03869192,-0.038195576,-0.037789663,-0.037473523,-0.037156924,-0.036840326,-0.036524186,-0.036208026,-0.035891427,-0.035574849,-0.035258689,-0.034942529,-0.034942529
GCAM4,0.025,World,ssp460,W / m^2,Effective Radiative Forcing|Aerosols|Direct Effect|SOx,-0.10801553,-0.11325591,-0.11467299,-0.11705592,-0.1177723,-0.12923396,-0.13886013,-0.14549187,-0.14750657,-0.15490593,-0.16106209,-0.18238609,-0.1864787,-0.19200718,-0.19975426,-0.20456226,-0.20914443,-0.20682982,-0.21499245,-0.22115257,-0.23263615,-0.23309455,-0.23921883,-0.25080868,-0.246503,-0.24211249,-0.25236661,-0.254638,-0.25511701,-0.25939106,-0.25813978,-0.25008522,-0.2442255,-0.24115006,-0.24376617,-0.24409648,-0.24384671,-0.24809649,-0.24978605,-0.24966023,-0.24920781,-0.24523689,-0.23704589,-0.23193467,-0.2247308,-0.22012088,-0.21603068,-0.21491853,-0.20968349,-0.19964209,-0.20046715,-0.20170969,-0.1991693,-0.2064038,-0.2166413,-0.22482649,-0.22631708,-0.22454221,-0.21919213,-0.20940069,-0.20649293,-0.20894311,-0.20469359,-0.20289297,-0.20089321,-0.19760318,-0.19258191,-0.18756064,-0.18254635,-0.17753206,-0.17517527,-0.17547538,-0.17577509,-0.176075,-0.1763751,-0.17667521,-0.17697512,-0.17727483,-0.17757494,-0.17787524,-0.17764114,-0.17687282,-0.17610351,-0.1753344,-0.17456628,-0.17379817,-0.17302905,-0.17225974,-0.17149143,-0.17072331,-0.16959467,-0.16810769,-0.1666227,-0.16513772,-0.16365074,-0.16216356,-0.16067838,-0.1591934,-0.15770642,-0.15621924,-0.15472568,-0.15322355,-0.15171922,-0.15021489,-0.14871276,-0.14721063,-0.1457063,-0.14420197,-0.14269984,-0.14119771,-0.13952927,-0.13769712,-0.13586736,-0.1340376,-0.13220545,-0.1303733,-0.12854354,-0.12671378,-0.12488163,-0.12304947,-0.12082908,-0.11821824,-0.11560401,-0.11298979,-0.11037895,-0.10776811,-0.10515389,-0.10253966,-0.099929025,-0.097318188,-0.095032784,-0.093075604,-0.091121016,-0.089166428,-0.087209248,-0.085252068,-0.08329748,-0.081342892,-0.079385712,-0.077428532,-0.075723403,-0.074267731,-0.072810066,-0.0713524,-0.069896729,-0.068441057,-0.066983392,-0.065525726,-0.064070055,-0.062614384,-0.062614384
IMAGE,0.025,World,ssp119,W / m^2,Effective Radiative Forcing|Aerosols|Direct Effect|SOx,-0.11733194,-0.1230243,-0.12456361,-0.12715207,-0.12793023,-0.14038047,-0.1508369,-0.15804064,-0.1602291,-0.16826667,-0.1749538,-0.19811701,-0.2025626,-0.20856793,-0.21698319,-0.22220589,-0.22718327,-0.22466903,-0.23353568,-0.24022712,-0.25270116,-0.2531991,-0.2598516,-0.27244109,-0.26776404,-0.26299485,-0.27413339,-0.27660069,-0.27712101,-0.2817637,-0.2804045,-0.27165523,-0.26529011,-0.26194941,-0.26479116,-0.26514995,-0.26487864,-0.26949497,-0.27133026,-0.27119358,-0.27070215,-0.26638873,-0.25749124,-0.25193918,-0.24411397,-0.23910644,-0.23466346,-0.23345539,-0.22776882,-0.21686134,-0.21775756,-0.21910728,-0.21634778,-0.22420626,-0.23532675,-0.24421791,-0.24583707,-0.24390912,-0.23809759,-0.22746163,-0.22430308,-0.22696458,-0.22234854,-0.22039261,-0.21822037,-0.21464658,-0.20536441,-0.19608245,-0.18681295,-0.17754345,-0.16819158,-0.15876999,-0.1493613,-0.13995261,-0.13053103,-0.12110944,-0.11170075,-0.10229206,-0.092870477,-0.083449112,-0.077343449,-0.074540595,-0.071734245,-0.068927676,-0.066124822,-0.063322187,-0.060515618,-0.05770905,-0.054906414,-0.052103779,-0.050484168,-0.050048236,-0.049612742,-0.049177247,-0.048741316,-0.048305384,-0.04786989,-0.047434395,-0.046998464,-0.046562532,-0.046240227,-0.046030892,-0.045821339,-0.045611786,-0.045402452,-0.045193117,-0.044983564,-0.044774011,-0.044564676,-0.044355342,-0.044002882,-0.043507952,-0.0430137,-0.042519469,-0.042024583,-0.041529697,-0.041035489,-0.04054128,-0.040046372,-0.039551486,-0.038987485,-0.038353647,-0.037718935,-0.037084245,-0.036450429,-0.035816591,-0.035181879,-0.034547189,-0.033913373,-0.033279557,-0.032647139,-0.032016994,-0.031387723,-0.030758452,-0.030128329,-0.029498206,-0.028868935,-0.028239664,-0.027609519,-0.026979374,-0.026319621,-0.025629385,-0.024938209,-0.024247034,-0.023556776,-0.022866519,-0.022175343,-0.021484168,-0.020793932,-0.020103674,-0.020103674
IMAGE,0.025,World,ssp126,W / m^2,Effective Radiative Forcing|Aerosols|Direct Effect|SOx,-0.11664845,-0.12230765,-0.12383799,-0.12641137,-0.127185,-0.13956271,-0.14995823,-0.15712,-0.15929572,-0.16728646,-0.17393464,-0.19696291,-0.20138261,-0.20735295,-0.21571919,-0.22091147,-0.22585985,-0.22336026,-0.23217527,-0.23882772,-0.2512291,-0.25172414,-0.25833789,-0.27085403,-0.26620423,-0.26146282,-0.27253647,-0.2749894,-0.2755067,-0.28012234,-0.27877106,-0.27007275,-0.26374471,-0.26042347,-0.26324867,-0.26360537,-0.26333564,-0.26792507,-0.26974968,-0.26961379,-0.26912522,-0.26483693,-0.25599128,-0.25047156,-0.24269193,-0.23771357,-0.23329647,-0.23209544,-0.226442,-0.21559806,-0.21648906,-0.21783091,-0.21508749,-0.22290019,-0.2339559,-0.24279527,-0.24440499,-0.24248827,-0.2367106,-0.2261366,-0.22299644,-0.22564244,-0.22105329,-0.21910876,-0.21694917,-0.2133962,-0.20442672,-0.19545725,-0.18649993,-0.17754262,-0.16997568,-0.16380758,-0.15764794,-0.15148809,-0.14531999,-0.13915189,-0.13299226,-0.12683262,-0.12066431,-0.11449621,-0.10960949,-0.10599547,-0.10237646,-0.098757671,-0.095143872,-0.091529855,-0.087910846,-0.084291836,-0.080678037,-0.077064237,-0.07434884,-0.072534667,-0.070722883,-0.068911098,-0.067096925,-0.065282753,-0.063471185,-0.061659401,-0.059845011,-0.058030838,-0.056616148,-0.055598335,-0.05457922,-0.053560105,-0.052542292,-0.05152448,-0.050505364,-0.049486249,-0.048468436,-0.047450624,-0.046474931,-0.045542659,-0.044611691,-0.043680722,-0.042748321,-0.041815854,-0.040884777,-0.0399537,-0.039021342,-0.038088984,-0.037136587,-0.036162891,-0.035187871,-0.034212829,-0.033239112,-0.032265416,-0.031290396,-0.030315375,-0.029341658,-0.02836794,-0.027559379,-0.026916841,-0.026275193,-0.025633524,-0.024990965,-0.024348427,-0.02370678,-0.023065111,-0.022422551,-0.021780014,-0.021216938,-0.020732457,-0.020247324,-0.019762192,-0.01927771,-0.018793229,-0.018308096,-0.017822942,-0.01733846,-0.016853979,-0.016853979
MESSAGE-GLOBIOM,0.025,World,ssp245,W / m^2,Effective Radiative Forcing|Aerosols|Direct Effect|SOx,-0.11670724,-0.12236929,-0.1239004,-0.12647508,-0.1272491,-0.13963305,-0.15003381,-0.15719919,-0.159376,-0.16737077,-0.1740223,-0.19706218,-0.2014841,-0.20745745,-0.21582791,-0.22102281,-0.22597368,-0.22347283,-0.23229228,-0.23894808,-0.25135571,-0.251851,-0.25846809,-0.27099054,-0.26633839,-0.26159459,-0.27267383,-0.27512799,-0.27564555,-0.28026351,-0.27891155,-0.27020886,-0.26387763,-0.26055472,-0.26338134,-0.26373823,-0.26346836,-0.2680601,-0.26988562,-0.26974968,-0.26926086,-0.26497041,-0.25612029,-0.25059779,-0.24281425,-0.23783338,-0.23341405,-0.23221241,-0.22655612,-0.21570672,-0.21659817,-0.21794069,-0.21519589,-0.22301253,-0.23407381,-0.24291763,-0.24452817,-0.24261048,-0.2368299,-0.22625056,-0.22310883,-0.22575616,-0.2211647,-0.21921918,-0.21705851,-0.21350374,-0.20450734,-0.19551094,-0.18652671,-0.17754269,-0.17292588,-0.17267628,-0.17242712,-0.17217817,-0.17192879,-0.17167919,-0.17143003,-0.17118108,-0.1709317,-0.1706821,-0.16920798,-0.16650888,-0.16380588,-0.16110287,-0.15840378,-0.15570469,-0.15300168,-0.15029868,-0.14759958,-0.14490049,-0.14211407,-0.13924445,-0.13637896,-0.13351346,-0.13064384,-0.12777444,-0.12490895,-0.12204324,-0.11917362,-0.11630422,-0.11407934,-0.11249507,-0.11090863,-0.10932198,-0.10773771,-0.10615345,-0.10456701,-0.10298058,-0.10139609,-0.099811828,-0.098574916,-0.097686441,-0.09679927,-0.095912099,-0.095023842,-0.094135585,-0.093248414,-0.092361243,-0.091472769,-0.090584512,-0.089770982,-0.089030876,-0.088289902,-0.08754871,-0.086808604,-0.086068499,-0.085327307,-0.084586332,-0.083846227,-0.083106121,-0.082154432,-0.080992682,-0.079832669,-0.078672656,-0.077510905,-0.076349154,-0.075188924,-0.074028694,-0.07286716,-0.071705409,-0.07087146,-0.070363791,-0.069855254,-0.069346933,-0.068839265,-0.068331596,-0.067823276,-0.067314738,-0.06680707,-0.066299401,-0.066299401
REMIND-MAGPIE,0.025,World,ssp534-over,W / m^2,Effective Radiative Forcing|Aerosols|Direct Effect|SOx,-0.11662601,-0.12228412,-0.12381417,-0.12638706,-0.12716054,-0.13953587,-0.14992939,-0.15708978,-0.15926508,-0.16725429,-0.17390119,-0.19692503,-0.20134388,-0.20731307,-0.2156777,-0.22086898,-0.22581641,-0.2233173,-0.23213061,-0.23878178,-0.25118078,-0.25167572,-0.2582882,-0.27080194,-0.26615303,-0.26141253,-0.27248405,-0.27493651,-0.2754537,-0.28006846,-0.27871744,-0.27002081,-0.26369398,-0.26037338,-0.26319803,-0.26355467,-0.26328499,-0.26787354,-0.26969779,-0.26956194,-0.26907346,-0.26478599,-0.25594204,-0.25042338,-0.24264525,-0.23766785,-0.2332516,-0.2320508,-0.22639845,-0.21555659,-0.21644742,-0.21778901,-0.21504612,-0.22285732,-0.2339109,-0.24274857,-0.24435799,-0.24244163,-0.23666507,-0.2260931,-0.22295355,-0.22559904,-0.22101077,-0.21906661,-0.21690744,-0.21335515,-0.20439582,-0.1954365,-0.18648954,-0.17754259,-0.17212944,-0.17025271,-0.16837857,-0.16650444,-0.1646277,-0.16275097,-0.16087683,-0.1590027,-0.15712596,-0.15524901,-0.15430804,-0.15430044,-0.15429262,-0.15428481,-0.15427721,-0.15426961,-0.1542618,-0.15425399,-0.15424639,-0.15423879,-0.150611,-0.14337299,-0.13614497,-0.12891695,-0.12167894,-0.11444115,-0.10721313,-0.099985105,-0.092747315,-0.085509308,-0.080532242,-0.077806132,-0.075076116,-0.072346316,-0.069620206,-0.066894096,-0.064164296,-0.061434279,-0.05870817,-0.05598206,-0.053799913,-0.0521639,-0.05052984,-0.048895998,-0.047259985,-0.045623755,-0.043989912,-0.042356091,-0.040719904,-0.039083804,-0.037823182,-0.036935802,-0.036047228,-0.035158654,-0.034271295,-0.033383936,-0.032495341,-0.031606745,-0.030719386,-0.029832027,-0.029194314,-0.02880679,-0.028419808,-0.028032804,-0.027645279,-0.027257754,-0.02687075,-0.026483768,-0.026096243,-0.025708719,-0.025424039,-0.025241683,-0.025059089,-0.024876494,-0.02469416,-0.024511826,-0.024329232,-0.024146616,-0.02396426,-0.023781926,-0.023781926
REMIND-MAGPIE,0.025,World,ssp585,W / m^2,Effective Radiative Forcing|Aerosols|Direct Effect|SOx,-0.11662601,-0.12228412,-0.12381417,-0.12638706,-0.12716054,-0.13953587,-0.14992939,-0.15708978,-0.15926508,-0.16725429,-0.17390119,-0.19692503,-0.20134388,-0.20731307,-0.2156777,-0.22086898,-0.22581641,-0.2233173,-0.23213061,-0.23878178,-0.25118078,-0.25167572,-0.2582882,-0.27080194,-0.26615303,-0.26141253,-0.27248405,-0.27493651,-0.2754537,-0.28006846,-0.27871744,-0.27002081,-0.26369398,-0.26037338,-0.26319803,-0.26355467,-0.26328499,-0.26787354,-0.26969779,-0.26956194,-0.26907346,-0.26478599,-0.25594204,-0.25042338,-0.24264525,-0.23766785,-0.2332516,-0.2320508,-0.22639845,-0.21555659,-0.21644742,-0.21778901,-0.21504612,-0.22285732,-0.2339109,-0.24274857,-0.24435799,-0.24244163,-0.23666507,-0.2260931,-0.22295355,-0.22559904,-0.22101077,-0.21906661,-0.21690744,-0.21335515,-0.20439582,-0.1954365,-0.18648954,-0.17754259,-0.17212944,-0.17025271,-0.16837857,-0.16650444,-0.1646277,-0.16275097,-0.16087683,-0.1590027,-0.15712596,-0.15524901,-0.15430804,-0.15430044,-0.15429262,-0.15428481,-0.15427721,-0.15426961,-0.1542618,-0.15425399,-0.15424639,-0.15423879,-0.15303517,-0.15063922,-0.14824652,-0.14585382,-0.14345808,-0.14106212,-0.13866943,-0.13627673,-0.13388077,-0.13148482,-0.13065975,-0.13140255,-0.13214643,-0.13289031,-0.1336331,-0.13437568,-0.13511934,-0.13586322,-0.13660601,-0.13734881,-0.13745169,-0.13691555,-0.13638027,-0.13584499,-0.13530905,-0.13477312,-0.13423784,-0.13370234,-0.1331662,-0.13263026,-0.13148351,-0.12972529,-0.12796469,-0.12620429,-0.12444629,-0.12268807,-0.12092746,-0.11916685,-0.11740863,-0.11565063,-0.11353664,-0.11106971,-0.10860603,-0.10614257,-0.10367585,-0.10120891,-0.098745234,-0.096281772,-0.093815054,-0.091348119,-0.088768962,-0.086074543,-0.083376435,-0.080678109,-0.077983474,-0.075289056,-0.072590947,-0.069892622,-0.067197986,-0.064503568,-0.064503568
AIM/CGE,0.025,World,ssp370,W / m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.42472236,-0.38893579,-0.40746111,-0.41434706,-0.42742077,-0.43782507,-0.48625525,-0.52840594,-0.49052102,-0.491947,-0.51014037,-0.56868598,-0.55619044,-0.61381129,-0.58128469,-0.59403502,-0.60492977,-0.63778454,-0.624385,-0.62788065,-0.66774702,-0.66784653,-0.73144912,-0.70404124,-0.71773571,-0.68750099,-0.73667791,-0.73788616,-0.75660434,-0.75894926,-0.76797856,-0.73740173,-0.8001111,-0.73067255,-0.74391558,-0.75776363,-0.76374588,-0.82477882,-0.82474136,-0.78441103,-0.80142382,-0.92594385,-0.77172515,-0.81709777,-0.90581997,-0.86679719,-0.79362568,-0.93439915,-0.94995618,-0.80555178,-0.7513324,-0.75202612,-0.84852861,-0.86042434,-0.85701883,-0.88330342,-0.88552043,-0.90121444,-0.84189852,-0.82132862,-0.89484921,-0.84093212,-0.88727327,-0.83884457,-0.88321382,-0.87276792,-0.87710256,-0.88142092,-0.88571802,-0.89,-0.89329876,-0.89562004,-0.8979345,-0.90024393,-0.90255158,-0.90485472,-0.90715088,-0.90944283,-0.91173233,-0.91401785,-0.91570997,-0.91681343,-0.91791697,-0.91901947,-0.92011959,-0.92121843,-0.92231801,-0.92341655,-0.92451226,-0.92560718,-0.92613062,-0.92608336,-0.92603633,-0.92598928,-0.92594222,-0.92589518,-0.92584834,-0.92580151,-0.92575444,-0.92570713,-0.92435727,-0.92169982,-0.91903288,-0.91636048,-0.91368552,-0.91100435,-0.90831377,-0.90561716,-0.9029179,-0.90021256,-0.89743643,-0.89459243,-0.89174528,-0.88889154,-0.88602702,-0.88315585,-0.88028167,-0.87740031,-0.87450775,-0.87160837,-0.86861575,-0.86552583,-0.86242358,-0.85931271,-0.85619807,-0.85307509,-0.84993986,-0.8467965,-0.84364893,-0.84049271,-0.83775104,-0.83542988,-0.83310732,-0.83078028,-0.82844508,-0.82610481,-0.82376267,-0.8214164,-0.81906234,-0.81670268,-0.81398996,-0.81091787,-0.80783356,-0.80474073,-0.80164304,-0.79853741,-0.7954186,-0.79229105,-0.78915893,-0.78601796,-0.78601796
AIM/CGE,0.025,World,ssp370-lowNTCF-aerchemmip,W / m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.44455919,-0.4071012,-0.42649175,-0.43369931,-0.44738363,-0.45827386,-0.508966,-0.55308535,-0.51343101,-0.51492358,-0.53396668,-0.59524669,-0.58216754,-0.64247959,-0.60843383,-0.62177966,-0.63318326,-0.66757253,-0.65354715,-0.65720607,-0.69893442,-0.69903857,-0.76561174,-0.73692377,-0.75125785,-0.719611,-0.77108475,-0.77234943,-0.79194185,-0.79439629,-0.80384731,-0.77184237,-0.83748061,-0.7647989,-0.77866045,-0.79315528,-0.79941694,-0.86330045,-0.86326124,-0.82104726,-0.83885464,-0.96919043,-0.80776889,-0.85526065,-0.94812665,-0.9072813,-0.83069228,-0.97804064,-0.99432427,-0.8431754,-0.78642368,-0.7871498,-0.88815948,-0.90061081,-0.89704624,-0.92455847,-0.92687902,-0.94330602,-0.88121973,-0.85968911,-0.93664351,-0.8802082,-0.92871373,-0.87802314,-0.92446468,-0.91195124,-0.90650422,-0.90102738,-0.89552866,-0.89,-0.8819336,-0.87130011,-0.86059049,-0.84978849,-0.83887832,-0.82787311,-0.81678551,-0.80559909,-0.79429628,-0.78289026,-0.7710439,-0.75872647,-0.74626593,-0.7336757,-0.72097012,-0.70813016,-0.69513399,-0.68199614,-0.66873183,-0.6553194,-0.63975893,-0.62199306,-0.603985,-0.58570171,-0.56710849,-0.54821994,-0.52905228,-0.50956954,-0.48973274,-0.46955528,-0.45753364,-0.45389446,-0.45023838,-0.44656966,-0.44289433,-0.43920653,-0.43550106,-0.43178438,-0.42806012,-0.42432341,-0.42050438,-0.41660754,-0.41270276,-0.40878328,-0.40484434,-0.40089219,-0.39693216,-0.39295806,-0.38896367,-0.3849549,-0.38098389,-0.37704556,-0.37308805,-0.36911556,-0.36513463,-0.36113929,-0.35712314,-0.35309355,-0.34905428,-0.34500008,-0.34113786,-0.33747357,-0.33380253,-0.33011907,-0.32641782,-0.32270424,-0.3189832,-0.31524818,-0.31149525,-0.30773049,-0.3038995,-0.29999577,-0.2960724,-0.29213439,-0.28818655,-0.28422531,-0.28024396,-0.2762478,-0.27224265,-0.26822205,-0.26822205
AIM/CGE,0.025,World,ssp370-lowNTCF-gidden,W / m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.44455919,-0.4071012,-0.42649175,-0.43369931,-0.44738363,-0.45827386,-0.508966,-0.55308535,-0.51343101,-0.51492358,-0.53396668,-0.59524669,-0.58216754,-0.64247959,-0.60843383,-0.62177966,-0.63318326,-0.66757253,-0.65354715,-0.65720607,-0.69893442,-0.69903857,-0.76561174,-0.73692377,-0.75125785,-0.719611,-0.77108475,-0.77234943,-0.79194185,-0.79439629,-0.80384731,-0.77184237,-0.83748061,-0.7647989,-0.77866045,-0.79315528,-0.79941694,-0.86330045,-0.86326124,-0.82104726,-0.83885464,-0.96919043,-0.80776889,-0.85526065,-0.94812665,-0.9072813,-0.83069228,-0.97804064,-0.99432427,-0.8431754,-0.78642368,-0.7871498,-0.88815948,-0.90061081,-0.89704624,-0.92455847,-0.92687902,-0.94330602,-0.88121973,-0.85968911,-0.93664351,-0.8802082,-0.92871373,-0.87802314,-0.92446468,-0.91195124,-0.90650422,-0.90102738,-0.89552866,-0.89,-0.8819336,-0.87130011,-0.86059049,-0.84978849,-0.83887832,-0.82787311,-0.81678551,-0.80559909,-0.79429628,-0.78289026,-0.7710439,-0.75872647,-0.74626593,-0.7336757,-0.72097012,-0.70813016,-0.69513399,-0.68199614,-0.66873183,-0.6553194,-0.63975893,-0.62199306,-0.603985,-0.58570171,-0.56710849,-0.54821994,-0.52905228,-0.50956954,-0.48973274,-0.46955528,-0.45753364,-0.45389446,-0.45023838,-0.44656966,-0.44289433,-0.43920653,-0.43550106,-0.43178438,-0.42806012,-0.42432341,-0.42050438,-0.41660754,-0.41270276,-0.40878328,-0.40484434,-0.40089219,-0.39693216,-0.39295806,-0.38896367,-0.3849549,-0.38098389,-0.37704556,-0.37308805,-0.36911556,-0.36513463,-0.36113929,-0.35712314,-0.35309355,-0.34905428,-0.34500008,-0.34113786,-0.33747357,-0.33380253,-0.33011907,-0.32641782,-0.32270424,-0.3189832,-0.31524818,-0.31149525,-0.30773049,-0.3038995,-0.29999577,-0.2960724,-0.29213439,-0.28818655,-0.28422531,-0.28024396,-0.2762478,-0.27224265,-0.26822205,-0.26822205
GCAM4,0.025,World,ssp434,W / m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.44254139,-0.40525342,-0.42455596,-0.43173081,-0.44535301,-0.45619382,-0.50665586,-0.55057497,-0.51110061,-0.51258641,-0.53154307,-0.59254494,-0.57952516,-0.63956346,-0.60567223,-0.61895748,-0.63030932,-0.6645425,-0.65058078,-0.6542231,-0.69576204,-0.69586572,-0.76213673,-0.73357896,-0.74784798,-0.71634478,-0.76758489,-0.76884383,-0.78834733,-0.79079063,-0.80019875,-0.76833908,-0.83367939,-0.76132758,-0.77512621,-0.78955525,-0.79578849,-0.85938204,-0.85934301,-0.81732063,-0.83504719,-0.96479139,-0.80410253,-0.85137874,-0.94382323,-0.90316326,-0.82692188,-0.97360144,-0.98981116,-0.83934833,-0.7828542,-0.78357703,-0.88412824,-0.89652305,-0.89297466,-0.92036201,-0.92267203,-0.93902447,-0.87721999,-0.85578709,-0.9323922,-0.87621304,-0.92449842,-0.87403791,-0.92026865,-0.90747578,-0.9031419,-0.89878235,-0.89440368,-0.89,-0.88478698,-0.87876909,-0.8727281,-0.86665474,-0.86054004,-0.85439236,-0.84822022,-0.84201416,-0.83576551,-0.82948255,-0.82245241,-0.81465462,-0.80679422,-0.79888182,-0.79092695,-0.78291761,-0.7748434,-0.76671324,-0.75853711,-0.75030454,-0.74067986,-0.72964549,-0.71852397,-0.70729752,-0.69594852,-0.68449017,-0.67293593,-0.66126833,-0.64946882,-0.6375503,-0.62764864,-0.61980002,-0.6118886,-0.60392457,-0.59591772,-0.58785689,-0.57973081,-0.57154862,-0.56332109,-0.55503627,-0.54918532,-0.54581055,-0.54243115,-0.53904127,-0.53563696,-0.53222297,-0.52880387,-0.52537538,-0.52193281,-0.51848037,-0.51418033,-0.50901933,-0.50383027,-0.49861925,-0.49339207,-0.48814258,-0.48286451,-0.47756367,-0.47224639,-0.46690593,-0.45835291,-0.44653226,-0.43460809,-0.42256159,-0.41037296,-0.39805638,-0.38562586,-0.373061,-0.36034105,-0.34748046,-0.33562929,-0.3248026,-0.31385956,-0.30281194,-0.29167323,-0.2804261,-0.26905269,-0.25756628,-0.2459792,-0.23427385,-0.23427385
